材料序号,材料名称,品牌,关键属性,,,,,
KLDX0001,科勒中端大双盆水槽,科勒,档次#中端|品牌#科勒|产品形式#大双盆,,,,,
KLDX0002,科勒中端小双盆水槽,科勒,档次#中端|品牌#科勒|产品形式#小双盆,,,,,
KLDX0003,科勒中端大单盆水槽,科勒,档次#中端|品牌#科勒|产品形式#大单盆,,,,,
KLDX0004,科勒中端小单盆水槽,科勒,档次#中端|品牌#科勒|产品形式#小单盆,,,,,
KLDX0005,科勒中端高抛龙头龙头,科勒,档次#中端|品牌#科勒|产品形式#高抛龙头,,,,,
KLDX0006,科勒中端高抛抽拉龙头龙头,科勒,档次#中端|品牌#科勒|产品形式#高抛抽拉龙头,,,,,
KZZJ034,瑞奇德风管侧纵向抗震支架,瑞奇德,产品类型#风管,,,,,
KZZJ035,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ036,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ037,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ038,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ039,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ040,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ041,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ042,瑞奇德多管综合侧向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ043,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ044,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ045,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ046,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ047,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ048,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ049,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ050,瑞奇德多管综合侧纵向抗震支架,瑞奇德,产品类型#多管,,,,,
KZZJ051,瑞奇德风机抗震四向支撑,瑞奇德,产品类型#风机,,,,,
HYZQJ0001,宏宇瓷砖600*300*15mm芝麻白（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻白|尺寸#600*300*15mm,,,,,
HYZQJ0002,宏宇瓷砖600*300*18mm芝麻白（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻白|尺寸#600*300*18mm,,,,,
HYZQJ0003,宏宇瓷砖600*600*15mm芝麻白（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻白|尺寸#600*600*15mm,,,,,
HYZQJ0004,宏宇瓷砖600*600*18mm芝麻白（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻白|尺寸#600*600*18mm,,,,,
HYZQJ0005,宏宇瓷砖600*900*18mm芝麻白（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻白|尺寸#600*900*18mm,,,,,
HYZQJ0006,宏宇瓷砖600*300*15mm芝麻灰（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*300*15mm,,,,,
HYZQJ0007,宏宇瓷砖600*300*18mm芝麻灰（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*300*18mm,,,,,
HYZQJ0008,宏宇瓷砖600*600*15mm芝麻灰（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*600*15mm,,,,,
HYZQJ0009,宏宇瓷砖600*600*18mm芝麻灰（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*600*18mm,,,,,
HYZQJ0010,宏宇瓷砖600*900*18mm芝麻灰（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻灰|尺寸#600*900*18mm,,,,,
HYZQJ0011,宏宇瓷砖600*300*15mm芝麻黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*300*15mm,,,,,
HYZQJ0012,宏宇瓷砖600*300*18mm芝麻黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*300*18mm,,,,,
HYZQJ0013,宏宇瓷砖600*600*15mm芝麻黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*600*15mm,,,,,
HYZQJ0014,宏宇瓷砖600*600*18mm芝麻黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*600*18mm,,,,,
HYZQJ0015,宏宇瓷砖600*900*18mm芝麻黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#芝麻黑|尺寸#600*900*18mm,,,,,
HYZQJ0016,宏宇瓷砖600*300*15mm福鼎黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*300*15mm,,,,,
HYZQJ0017,宏宇瓷砖600*300*18mm福鼎黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*300*18mm,,,,,
HYZQJ0018,宏宇瓷砖600*600*15mm福鼎黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*600*15mm,,,,,
HYZQJ0019,宏宇瓷砖600*600*18mm福鼎黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*600*18mm,,,,,
HYZQJ0020,宏宇瓷砖600*900*18mm福鼎黑（荔枝面）,宏宇,产品分类#瓷砖|颜色#福鼎黑|尺寸#600*900*18mm,,,,,
HYZQJ0021,宏宇瓷砖600*300*15mm山西黑（光面）,宏宇,产品分类#瓷砖|颜色#山西黑|尺寸#600*300*15mm,,,,,
HYZQJ0022,宏宇瓷砖600*300*18mm山西黑（光面）,宏宇,产品分类#瓷砖|颜色#山西黑|尺寸#600*300*18mm,,,,,
HYZQJ0023,宏宇瓷砖600*600*15mm山西黑（光面）,宏宇,产品分类#瓷砖|颜色#山西黑|尺寸#600*600*15mm,,,,,
HYZQJ0024,宏宇瓷砖600*600*18mm山西黑（光面）,宏宇,产品分类#瓷砖|颜色#山西黑|尺寸#600*600*18mm,,,,,
HYZQJ0025,宏宇瓷砖600*900*18mm山西黑（光面）,宏宇,产品分类#瓷砖|颜色#山西黑|尺寸#600*900*18mm,,,,,
HYZQJ0026,宏宇瓷砖600*300*15mm贵妃红（荔枝面）,宏宇,产品分类#瓷砖|颜色#贵妃红|尺寸#600*300*15mm,,,,,
HYZQJ0027,宏宇瓷砖600*300*18mm贵妃红（荔枝面）,宏宇,产品分类#瓷砖|颜色#贵妃红|尺寸#600*300*18mm,,,,,
HYZQJ0028,宏宇瓷砖600*600*15mm贵妃红（荔枝面）,宏宇,产品分类#瓷砖|颜色#贵妃红|尺寸#600*600*15mm,,,,,
HYZQJ0029,宏宇瓷砖600*600*18mm贵妃红（荔枝面）,宏宇,产品分类#瓷砖|颜色#贵妃红|尺寸#600*600*18mm,,,,,
HYZQJ0030,宏宇瓷砖600*900*18mm贵妃红（荔枝面）,宏宇,产品分类#瓷砖|颜色#贵妃红|尺寸#600*900*18mm,,,,,
HYZQJ0031,宏宇瓷砖600*300*15mm黄金麻A（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*300*15mm,,,,,
HYZQJ0032,宏宇瓷砖600*300*18mm黄金麻A（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*300*18mm,,,,,
HYZQJ0033,宏宇瓷砖600*600*15mm黄金麻A（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*600*15mm,,,,,
HYZQJ0034,宏宇瓷砖600*600*18mm黄金麻A（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*600*18mm,,,,,
HYZQJ0035,宏宇瓷砖600*900*18mm黄金麻A（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻A|尺寸#600*900*18mm,,,,,
HYZQJ0036,宏宇瓷砖600*600*15mm黄金麻B（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*600*15mm,,,,,
HYZQJ0037,宏宇瓷砖600*600*18mm黄金麻B（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*600*18mm,,,,,
HYZQJ0038,宏宇瓷砖600*900*15mm黄金麻B（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*900*15mm,,,,,
HYZQJ0039,宏宇瓷砖600*900*18mm黄金麻B（荔枝面）,宏宇,产品分类#瓷砖|颜色#黄金麻B|尺寸#600*900*18mm,,,,,
HYZQJ0040,宏宇瓷砖600*600*15mm白麻（荔枝面）,宏宇,产品分类#瓷砖|颜色#白麻|尺寸#600*600*15mm,,,,,
HYZQJ0041,宏宇瓷砖600*600*18mm白麻（荔枝面）,宏宇,产品分类#瓷砖|颜色#白麻|尺寸#600*600*18mm,,,,,
HYZQJ0042,宏宇瓷砖600*900*15mm白麻（荔枝面）,宏宇,产品分类#瓷砖|颜色#白麻|尺寸#600*900*15mm,,,,,
HYZQJ0043,宏宇瓷砖600*900*18mm白麻（荔枝面）,宏宇,产品分类#瓷砖|颜色#白麻|尺寸#600*900*18mm,,,,,
HYZQJ020001,宏宇直切加工,宏宇,产品分类#直切加工,,,,,
HYZQJ020002,宏宇直切加工,宏宇,产品分类#直切加工,,,,,
HYZQJ020003,宏宇边倒角加工,宏宇,产品分类#边倒角加工,,,,,
HYZQJ020004,宏宇边倒角加工,宏宇,产品分类#边倒角加工,,,,,
HYZQJ020005,宏宇切直角加工,宏宇,产品分类#切直角加工,,,,,
HYZQJ020006,宏宇切直角加工,宏宇,产品分类#切直角加工,,,,,
HYZQJ020007,宏宇对角切三角形加工,宏宇,产品分类#对角切三角形加工,,,,,
HYZQJ020008,宏宇对角切三角形加工,宏宇,产品分类#对角切三角形加工,,,,,
HYZQJ020009,宏宇普通梯级面板加工,宏宇,产品分类#普通梯级面板加工,,,,,
HYZQJ020010,宏宇普通梯级面板加工,宏宇,产品分类#普通梯级面板加工,,,,,
HYZQJ020011,宏宇异型规格加工,宏宇,产品分类#异型规格加工,,,,,
HYZQJ020012,宏宇异型规格加工,宏宇,产品分类#异型规格加工,,,,,
WLZQJ0001,万利瓷砖600*300*15mm芝麻白（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻白|尺寸#600*300*15mm,,,,,
WLZQJ0002,万利瓷砖600*300*18mm芝麻白（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻白|尺寸#600*300*18mm,,,,,
WLZQJ0003,万利瓷砖600*600*15mm芝麻白（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻白|尺寸#600*600*15mm,,,,,
WLZQJ0004,万利瓷砖600*600*18mm芝麻白（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻白|尺寸#600*600*18mm,,,,,
WLZQJ0005,万利瓷砖600*900*18mm芝麻白（荔枝面）,万利,产品分类#瓷砖|颜色#芝麻白|尺寸#600*900*18mm,,,,,
